CAR_ID,TRIPS,TIME_INTERVALS,ENGINE_OIL,COOLANT,BATTERY,LIGHTS,WHEEL_ALIGNMENT,CLEANING,OIL_FILTER
Car1,T1,5,60,80,200,1,0,0,no
Car1,T1,10,60,80,200,1,0,0,no
Car1,T1,15,60,80,195,1,0,0,no
Car1,T1,20,60,80,195,1,0,0,no
Car1,T1,25,60,80,194,1,0,0,no
Car1,T1,30,60,80,191,1,0,0,no
Car1,T1,35,60,80,190,1,0,0,no
Car1,T1,40,60,80,184,1,0,0,no
Car1,T1,45,60,90,181,1,0,0,no
Car1,T1,50,60,90,173,1,0,0,no
Car1,T1,55,60,90,173,1,0,0,no
Car1,T1,60,60,90,172,1,0,0,no
Car1,T2,5,60,90,172,1,0,0,no
Car1,T2,10,60,90,171,1,0,0,no
Car1,T2,15,60,90,168,1,0,0,no
Car1,T2,20,60,90,167,1,0,0,no
Car1,T2,25,60,90,165,1,0,0,no
Car1,T2,30,60,90,162,1,0,0,no
Car1,T2,35,60,100,162,1,0,0,no
Car1,T2,40,60,100,160,1,0,0,no
Car1,T2,45,60,100,160,1,0,0,no
Car1,T2,50,60,100,158,1,0,0,no
Car1,T2,55,60,100,158,1,0,0,no
Car1,T2,60,60,135,157,1,0,0,no
Car1,T3,5,50,135,157,1,0,0,no
Car1,T3,10,50,140,157,1,0,0,no
Car1,T3,15,50,140,156,1,0,0,no
Car1,T3,20,50,145,156,1,0,0,no
Car1,T3,25,50,150,145,1,0,0,no
Car1,T3,30,50,150,145,1,0,0,no
Car1,T3,35,50,150,145,1,0,0,no
Car1,T3,40,50,150,143,1,0,0,no
Car1,T3,45,50,150,143,1,0,0,no
Car1,T3,50,50,150,120,1,0,0,no
Car1,T3,55,50,150,120,1,0,0,no
Car1,T3,60,50,155,118,1,0,0,no
Car1,T4,5,50,160,118,0,1,0,no
Car1,T4,10,50,160,100,0,1,0,no
Car1,T4,15,50,160,100,0,1,0,no
Car1,T4,20,50,165,95,0,1,0,no
Car1,T4,25,50,170,95,0,1,0,no
Car1,T4,30,50,170,95,0,1,0,no
Car1,T4,35,50,180,80,0,1,0,no
Car1,T4,40,40,180,80,0,1,0,no
Car1,T4,45,40,180,74,0,1,0,no
Car1,T4,50,40,180,74,0,1,0,no
Car1,T4,55,40,180,71,0,1,0,no
Car1,T4,60,40,200,70,0,1,0,no
Car1,T5,5,40,200,65,1,0,1,no
Car1,T5,10,40,200,61,1,0,1,no
Car1,T5,15,40,210,60,1,0,1,no
Car1,T5,20,40,215,54,1,0,1,no
Car1,T5,25,40,220,51,1,0,1,no
Car1,T5,30,40,220,50,1,0,1,no
Car1,T5,35,40,225,45,1,0,1,no
Car1,T5,40,40,225,45,1,0,1,no
Car1,T5,45,40,230,43,1,0,1,no
Car1,T5,50,40,230,41,1,0,1,no
Car1,T5,55,30,235,40,1,0,1,no
Car1,T5,60,30,240,35,1,0,1,no
Car1,T6,5,30,80,35,1,0,0,yes
Car1,T6,10,30,80,34,1,0,0,yes
Car1,T6,15,30,80,34,1,0,0,yes
Car1,T6,20,30,80,33,1,0,0,yes
Car1,T6,25,30,80,32,1,0,0,yes
Car1,T6,30,30,80,30,1,0,0,yes
Car1,T6,35,30,80,26,1,0,0,yes
Car1,T6,40,30,80,26,1,0,0,yes
Car1,T6,45,30,90,25,1,0,0,yes
Car1,T6,50,30,90,24,1,0,0,yes
Car1,T6,55,30,90,23,1,0,0,yes
Car1,T6,60,30,90,20,1,0,0,yes
Car1,T7,5,30,90,200,1,0,0,no
Car1,T7,10,30,90,200,1,0,0,no
Car1,T7,15,30,90,195,1,0,0,no
Car1,T7,20,30,90,195,1,0,0,no
Car1,T7,25,20,90,194,1,0,0,no
Car1,T7,30,20,90,191,1,0,0,no
Car1,T7,35,20,100,190,1,0,0,no
Car1,T7,40,20,100,184,1,0,0,no
Car1,T7,45,20,100,181,1,0,0,no
Car1,T7,50,20,100,173,1,0,0,no
Car1,T7,55,20,100,173,1,0,0,no
Car1,T7,60,20,135,172,1,0,0,no
Car1,T8,5,60,135,172,0,-1,0,no
Car1,T8,10,60,140,171,0,-1,0,no
Car1,T8,15,60,140,168,0,-1,0,no
Car1,T8,20,60,145,167,0,-1,0,no
Car1,T8,25,60,150,165,0,-1,0,no
Car1,T8,30,60,150,162,0,-1,0,no
Car1,T8,35,60,150,162,0,-1,0,no
Car1,T8,40,60,150,160,0,-1,0,no
Car1,T8,45,60,150,160,0,-1,0,no
Car1,T8,50,60,150,158,0,-1,0,no
Car1,T8,55,60,150,158,0,-1,0,no
Car1,T8,60,60,155,157,0,-1,0,no
Car1,T9,5,60,160,157,1,0,0,no
Car1,T9,10,60,160,157,1,0,0,no
Car1,T9,15,60,160,156,1,0,0,no
Car1,T9,20,60,165,156,1,0,0,no
Car1,T9,25,60,170,145,1,0,0,no
Car1,T9,30,60,170,145,1,0,0,no
Car1,T9,35,60,180,145,1,0,0,no
Car1,T9,40,60,180,143,1,0,0,no
Car1,T9,45,60,180,143,1,0,0,no
Car1,T9,50,60,180,120,1,0,0,no
Car1,T9,55,60,180,120,1,0,0,no
Car1,T9,60,60,200,118,1,0,0,no
Car1,T10,5,50,200,118,1,0,1,no
Car1,T10,10,50,200,100,1,0,1,no
Car1,T10,15,50,210,100,1,0,1,no
Car1,T10,20,50,215,95,1,0,1,no
Car1,T10,25,50,220,95,1,0,1,no
Car1,T10,30,50,220,95,1,0,1,no
Car1,T10,35,50,225,80,1,0,1,no
Car1,T10,40,50,225,80,1,0,1,no
Car1,T10,45,50,230,74,1,0,1,no
Car1,T10,50,50,230,74,1,0,1,no
Car1,T10,55,50,235,71,1,0,1,no
Car1,T10,60,50,240,70,1,0,1,no
Car2,T1,5,40,160,35,1,1,0,yes
Car2,T1,10,40,160,34,1,1,0,yes
Car2,T1,15,40,160,34,1,1,0,yes
Car2,T1,20,40,165,33,1,1,0,yes
Car2,T1,25,40,170,32,1,1,0,yes
Car2,T1,30,40,170,30,1,1,0,yes
Car2,T1,35,40,180,26,1,1,0,yes
Car2,T1,40,40,180,26,1,1,0,yes
Car2,T1,45,40,180,25,1,1,0,yes
Car2,T1,50,40,180,24,1,1,0,yes
Car2,T1,55,40,180,23,1,1,0,yes
Car2,T1,60,40,200,20,1,1,1,yes
Car2,T2,5,40,200,200,0,0,1,no
Car2,T2,10,40,200,200,0,0,1,no
Car2,T2,15,40,210,195,0,0,1,no
Car2,T2,20,30,215,195,0,0,1,no
Car2,T2,25,30,220,194,0,0,1,no
