CAR_ID,TRIPS,TIME_INTERVAL,IGNITION_TIMING,FUEL_EJECTORS,POWER_STEERING,PCV_VALVE,TRANSMISSION
Car1,T1,5,12,0,0,1,1
Car1,T1,10,12,0,0,1,1
Car1,T1,15,12,0,0,1,1
Car1,T1,20,13,0,0,1,1
Car1,T1,25,14,0,0,1,1
Car1,T1,30,15,0,0,1,1
Car1,T1,35,16,0,0,1,1
Car1,T1,40,17,0,0,1,1
Car1,T1,45,18,0,0,1,1
Car1,T1,50,19,0,0,1,1
Car1,T1,55,20,0,0,1,1
Car1,T1,60,21,0,0,1,1
Car1,T2,5,12,0,0,1,1
Car1,T2,10,12,0,0,1,1
Car1,T2,15,12,0,0,1,1
Car1,T2,20,13,0,0,1,1
Car1,T2,25,14,0,0,1,1
Car1,T2,30,15,0,0,1,1
Car1,T2,35,16,0,0,1,1
Car1,T2,40,17,0,0,1,1
Car1,T2,45,18,0,0,1,1
Car1,T2,50,19,0,0,1,1
Car1,T2,55,20,0,0,1,1
Car1,T2,60,21,0,0,1,1
Car1,T3,5,12,0,0,1,1
Car1,T3,10,12,0,0,1,1
Car1,T3,15,12,0,0,1,1
Car1,T3,20,13,0,0,1,1
Car1,T3,25,14,0,0,1,1
Car1,T3,30,15,0,0,1,1
Car1,T3,35,16,0,0,1,1
Car1,T3,40,17,0,0,1,1
Car1,T3,45,18,0,0,1,1
Car1,T3,50,19,0,0,1,1
Car1,T3,55,20,0,0,1,1
Car1,T3,60,21,0,0,1,1
Car1,T4,5,12,1,1,0,1
Car1,T4,6,12,1,1,0,1
Car1,T4,7,12,1,1,0,1
Car1,T4,8,13,1,1,0,1
Car1,T4,9,14,1,1,0,1
Car1,T4,10,15,1,1,0,1
Car1,T4,11,16,1,1,0,1
Car1,T4,12,17,1,1,0,1
Car1,T4,13,18,1,1,0,1
Car1,T4,14,19,1,1,0,1
Car1,T4,15,20,1,1,0,1
Car1,T4,16,21,1,1,0,1
Car1,T5,5,12,1,1,1,1
Car1,T5,10,12,1,1,1,1
Car1,T5,15,12,1,1,1,1
Car1,T5,20,13,1,1,1,1
Car1,T5,25,14,1,1,1,1
Car1,T5,30,15,1,1,1,1
Car1,T5,35,16,1,1,1,1
Car1,T5,40,17,1,1,1,1
Car1,T5,45,18,1,1,1,1
Car1,T5,50,19,1,1,1,1
Car1,T5,55,20,1,1,1,1
Car1,T5,60,21,1,1,1,1
